season,week,cutline_type,key,raw_cutline,shrunk_cutline,base_cutline
2022,6,position,TE,7.5,7.98,8.3
2022,7,slot,QB,16.32,17.585,18.62
2022,7,slot,RB,13.7,12.8675,11.85
2022,7,slot,WR,10.4,10.377500000000001,10.350000000000001
2022,7,slot,TE,8.4,9.03,9.45
2022,7,slot,FLEX,8.3,8.32,8.350000000000001
2022,7,slot,SF,10.7,11.67,12.64
2022,7,position,QB,10.7,11.767,12.64
2022,7,position,RB,8.4,8.422500000000001,8.45
2022,7,position,WR,8.3,8.39,8.5
2022,7,position,TE,8.3,8.3,8.3
2022,8,slot,QB,20.32,19.384999999999998,18.62
2022,8,slot,RB,12.6,12.2625,11.85
2022,8,slot,WR,10.2,10.267500000000002,10.350000000000001
2022,8,slot,TE,9.5,9.469999999999999,9.45
2022,8,slot,FLEX,9.1,8.8,8.350000000000001
2022,8,slot,SF,15.22,13.93,12.64
2022,8,position,QB,15.22,13.801,12.64
2022,8,position,RB,9.2,8.862499999999999,8.45
2022,8,position,WR,9.1,8.83,8.5
2022,8,position,TE,9.4,8.74,8.3
2022,9,slot,QB,17.520000000000003,18.125,18.62
2022,9,slot,RB,8.9,10.2275,11.85
2022,9,slot,WR,7.300000000000001,8.672500000000001,10.350000000000001
2022,9,slot,TE,8.1,8.91,9.45
2022,9,slot,FLEX,5.9,6.880000000000001,8.350000000000001
2022,9,slot,SF,10.9,11.77,12.64
2022,9,position,QB,10.9,11.857,12.64
2022,9,position,RB,5.9,7.0475,8.45
2022,9,position,WR,6.5,7.4,8.5
2022,9,position,TE,6.0,7.380000000000001,8.3
2022,10,slot,QB,19.200000000000003,18.881,18.62
2022,10,slot,RB,10.2,10.942499999999999,11.85
2022,10,slot,WR,10.8,10.597500000000002,10.350000000000001
2022,10,slot,TE,8.0,8.87,9.45
2022,10,slot,FLEX,8.0,8.14,8.350000000000001
2022,10,slot,SF,14.84,13.74,12.64
2022,10,position,QB,14.84,13.629999999999999,12.64
2022,10,position,RB,8.8,8.6425,8.45
2022,10,position,WR,8.0,8.225000000000001,8.5
2022,10,position,TE,8.0,8.18,8.3
2022,11,slot,QB,20.28,19.367,18.62
